# index, _pos
0,"array([111.83245533, -46.64238967])"
1,"array([124.56657304, -60.92085039])"
2,"array([-39.74182294, -85.56106975])"
3,"array([ -74.12500778, -110.04441706])"
4,"array([ 33.67455882, -15.49719245])"
5,"array([26.84850896,  2.48773354])"
6,"array([-34.74616374, -26.19110658])"
7,"array([-69.97250754, -67.35943733])"
8,"array([27.04326203, 87.29791428])"
9,"array([ 56.67014455, 117.04340076])"
10,"array([ 4.41044937, 27.34880357])"
11,"array([-57.6644855 ,  19.18725042])"
12,"array([55.26950936, 25.1767892 ])"
13,"array([107.32467473,  33.45850138])"
14,"array([-11.59268509,  76.38352216])"
15,"array([33.93417221,  8.82155682])"
16,"array([ 25.84354654, -16.42497352])"
17,"array([ 35.9970796 , -11.86371064])"
18,"array([17.86673664,  4.96567638])"
19,"array([49.75541136, 33.65769574])"
20,"array([61.33524061, 73.52547143])"
21,"array([39.716101  , 96.22291519])"
22,"array([ 13.42027615, 121.02672499])"
23,"array([ 38.47315803, -22.28957782])"
24,"array([ 39.88486812, -33.87990075])"
25,"array([32.78153394, 11.9801672 ])"
26,"array([38.5756839 , -4.64757077])"
27,"array([-49.97508147, -96.85271869])"
28,"array([ -79.24947979, -127.29256152])"
29,"array([-22.62560455,  27.67033401])"
30,"array([-79.24499033,  28.32142633])"
31,"array([76.42643203, 30.44029801])"
32,"array([85.13598132, 60.35212629])"
33,"array([ 27.86466105, -61.32726768])"
34,"array([   8.35481393, -102.4434219 ])"
35,"array([26.04568917,  8.41325066])"
36,"array([29.25164205, -0.09340085])"
37,"array([78.14186166, 38.43798483])"
38,"array([43.71406634, 46.03404061])"
39,"array([29.95168678, -2.43003445])"
40,"array([19.23929844,  6.5877686 ])"
41,"array([29.28798392,  3.3800621 ])"
42,"array([ 19.41223117, -23.10352056])"
43,"array([-7.15756432, 25.79534318])"
44,"array([-22.31600323,  19.63892263])"
45,"array([54.57520597, 83.66260621])"
46,"array([64.00321168, 45.25079254])"
47,"array([60.24752964, 21.38653571])"
48,"array([16.0311978 , 30.61057238])"
49,"array([29.96451886,  9.84805757])"
50,"array([ 35.56507742, -10.44540273])"
51,"array([18.4304173 , -5.16515525])"
52,"array([14.88399703, 23.12552891])"
53,"array([21.34683978, 65.37051563])"
54,"array([6.63952572, 5.04894141])"
55,"array([ 81.90810301, -21.22589451])"
56,"array([29.22225081, -3.6605722 ])"
57,"array([54.79259201,  8.49781358])"
58,"array([27.05349753,  8.68799462])"
59,"array([ 12.19188898, -24.7958477 ])"
60,"array([26.20852856, -0.13970342])"
61,"array([33.12573873, -0.82058421])"
62,"array([34.03731587, -5.56862921])"
63,"array([26.89459504,  3.20533005])"
64,"array([27.85380472, -1.23233192])"
65,"array([ 25.97655269, -18.66779875])"
66,"array([ 58.04125248, -23.68261441])"
67,"array([-17.69132315,  86.90449871])"
68,"array([26.69951487, 37.38956928])"
69,"array([43.10969021, 14.38589528])"
70,"array([28.63451   , -7.77672658])"
71,"array([30.8467964 , -5.94791856])"
72,"array([146.46974925, -61.73618126])"
73,"array([31.76924052,  9.50258977])"
74,"array([28.55145215, -3.1289433 ])"
75,"array([ 33.25886731, -22.80522441])"
76,"array([ 37.79059313, -51.25765574])"
77,"array([31.38804438, -8.46802166])"
78,"array([ 14.86504068, -20.63412589])"
79,"array([-33.94891898,  45.89955011])"
80,"array([39.92962479, 51.20079786])"
81,"array([41.57162253, 58.56068402])"
82,"array([37.2992918 , 36.03010644])"
83,"array([-39.2953764 ,  56.96913474])"
84,"array([-39.25556082,  51.17426587])"
85,"array([28.61181163,  3.62296852])"
86,"array([34.63462662,  2.82226377])"
87,"array([ 3.35357448, -9.50482326])"
88,"array([27.69692441, -8.10942181])"
89,"array([26.21135929, -8.56920911])"
90,"array([34.44197884,  4.37929176])"
91,"array([-12.85975676,  70.34517406])"
92,"array([-25.49148854,  92.59991131])"
93,"array([-16.650926  , -66.35386311])"
94,"array([-12.74663087, -39.7203726 ])"
95,"array([41.99853947, 16.36931113])"
96,"array([31.74233351, 27.10610809])"
97,"array([56.50791748, 32.09289433])"
98,"array([46.88794368, 38.43989311])"
99,"array([14.97417803, 67.55662935])"
100,"array([44.22933478, 32.81627455])"
101,"array([57.5384916 , 22.05879444])"
102,"array([46.85857296, 43.63029398])"
103,"array([ 27.37552866, -13.57022824])"
104,"array([29.4479343 , -9.96135818])"
105,"array([ 62.65162481, -62.17586063])"
106,"array([  54.20620982, -126.64335331])"
107,"array([79.39778148, -2.53919873])"
108,"array([129.44686344, -23.59206647])"
109,"array([25.93577113, 69.3049994 ])"
110,"array([ 26.96390847, 100.87552889])"
111,"array([-2.72951914,  4.2028248 ])"
112,"array([-12.14109703,   9.05224572])"
113,"array([ 72.1398088 , 130.95249411])"
114,"array([38.73099362, 72.57901277])"
115,"array([48.53096128, 44.81112809])"
116,"array([30.59102066, -8.42919116])"
117,"array([29.17158658, -7.65297762])"
118,"array([ 12.50487141, -25.80354519])"
119,"array([ 8.62334811, -9.11943856])"
120,"array([ 22.33434171, -20.53680906])"
121,"array([65.58010496, 34.86376448])"
122,"array([102.49266904,  39.52022277])"
123,"array([ 12.58693281, -31.62220691])"
124,"array([ 18.49348388, -12.78234713])"
125,"array([29.68852301, 22.42697282])"
126,"array([27.08531333, 42.54327267])"
127,"array([-13.49976565,  57.12549229])"
128,"array([36.39282305,  5.04393333])"
129,"array([-53.32119353,  23.5615942 ])"
130,"array([-39.97932632,  22.19799339])"
131,"array([68.53626518, 61.93077186])"
132,"array([49.64936859,  3.86514066])"
133,"array([ 91.9945311 , -23.28874183])"
