dimension,size,backend,sample_count,negative_samples,graph_seed,beta,gamma,mean_degree,quality_enabled,edge_file,generated_coordinates,root,backend_reported,mode,refine_negative_samples_reported,wall_time_ms,total_time_ms,initialization_ms,parameter_inference_ms,initial_positions_ms,refining_positions_ms,adjusting_kappas_ms,io_ms,objective,c_score,aligned_coord_corr
1,1000,cpu,exact,0,1001017,2.0,2.5,10.0,True,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd.gen_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/embed_cpu_exact,cpu,optimized,0,27736.58100143075,27718.039491,14.199241,1054.190731,60.675137,26539.290412,18.869269,30.794781,-10342.289976765054,0.9730752796885062,
1,1000,cpu,16,16,1001017,2.0,2.5,10.0,True,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd.gen_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/embed_cpu_16,cpu,optimized,16,2136.7833046242595,2114.420183,14.012923,1050.938246,60.923346,804.490758,177.139464,6.894326,-12587.689130685081,0.9732056706004601,
1,1000,cpu,64,64,1001017,2.0,2.5,10.0,True,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd.gen_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/embed_cpu_64,cpu,optimized,64,3291.4202101528645,3276.70679,13.877033,1051.595834,60.566327,2078.422757,39.34575,32.87877,-13748.125090568521,0.9714484023101257,
1,1000,cpu,256,256,1001017,2.0,2.5,10.0,True,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd.gen_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/embed_cpu_256,cpu,optimized,256,8426.84118077159,8408.141311,13.943163,1051.890002,61.098314,7227.630521,28.242274,25.317867,-11648.338812105674,0.9733099833300234,
1,1000,gpu,exact,0,1001017,2.0,2.5,10.0,True,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd.gen_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/embed_gpu_exact,cuda,optimized,0,2774.0766629576683,2590.931518,995.638714,1051.319815,55.74586,475.205982,4.598508,8.4012,-10342.289976765054,0.9730752796885062,
1,1000,gpu,16,16,1001017,2.0,2.5,10.0,True,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd.gen_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/embed_gpu_16,cuda,optimized,16,2217.836892232299,2049.269628,795.561073,1051.734862,55.602361,97.080471,40.991622,8.27806,-12587.689130685081,0.9732056706004601,
1,1000,gpu,64,64,1001017,2.0,2.5,10.0,True,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd.gen_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/embed_gpu_64,cuda,optimized,64,2116.45985301584,1948.442956,727.187873,1052.437179,55.749641,96.020165,9.181856,7.845552,-13748.125090568521,0.9714484023101257,
1,1000,gpu,256,256,1001017,2.0,2.5,10.0,True,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/synthetic_sd.gen_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n1000_seed1001017/embed_gpu_256,cuda,optimized,256,2115.9631544724107,1942.933092,716.840232,1053.032247,55.661211,98.749602,6.579978,12.051752,-11648.338812105674,0.9733099833300234,
1,2000,cpu,exact,0,1002017,2.0,2.5,10.0,True,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n2000_seed1002017/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n2000_seed1002017/synthetic_sd.gen_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n2000_seed1002017/embed_cpu_exact,cpu,optimized,0,116428.9887053892,116417.463952,26.133774,1360.1992,184.506507,114706.915186,86.618021,53.069533,-23133.318742169966,0.972116833909523,
1,2000,cpu,16,16,1002017,2.0,2.5,10.0,True,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n2000_seed1002017/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n2000_seed1002017/synthetic_sd.gen_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66176271/benchmark/artifacts/d1_n2000_seed1002017/embed_cpu_16,cpu,optimized,16,3590.8351307734847,3572.62604,25.949854,1358.790247,184.658677,1700.473455,290.172676,12.557599,-30363.364295536056,0.9705860091438459,
