dimension,size,graph_seed,backend,sample_count,negative_samples,degree_ks,avg_clustering_abs_diff,transitivity_abs_diff,ck_weighted_rmse,spectrum_rel_rmse,edge_count_abs_diff,objective,c_score,aligned_coord_corr,total_time_ms,refining_positions_ms,wall_time_ms,mode,backend_reported,refine_negative_samples_reported,root,inf_coord_file,edge_file,synthetic_edge_file
1,50000,1050042,gpu,exact,0,0.05859742547696742,0.03854434640274906,0.0006147199708804382,0.02040521262161301,0.013791988636385165,144,,0.9952927674927234,,122307.299699,42498.44156,122724.44489784539,optimized,cuda,0,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n50000_seed1050042/embed_gpu_exact,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n50000_seed1050042/embed_gpu_exact.inf_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n50000_seed1050042/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/topology_validation/synthetic_graphs/d1_n50000_seed1050042/gpu_exact/synthetic_from_embedding.edge
1,50000,1050042,gpu,16,16,0.056795659746551624,0.014144463246234362,0.0006120497571674155,0.013495187772758334,0.012778401218799763,422,,0.9951023001540509,,76313.244711,3875.418239,76735.6814770028,optimized,cuda,16,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n50000_seed1050042/embed_gpu_16,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n50000_seed1050042/embed_gpu_16.inf_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n50000_seed1050042/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/topology_validation/synthetic_graphs/d1_n50000_seed1050042/gpu_16/synthetic_from_embedding.edge
1,50000,1050042,gpu,64,64,0.05535424716221897,0.011267845393037879,0.000762270773258987,0.015001706039017798,0.014662151831462807,98,,0.995079619268124,,69999.106117,3868.381731,70333.20160862058,optimized,cuda,64,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n50000_seed1050042/embed_gpu_64,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n50000_seed1050042/embed_gpu_64.inf_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n50000_seed1050042/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/topology_validation/synthetic_graphs/d1_n50000_seed1050042/gpu_64/synthetic_from_embedding.edge
1,50000,1050042,gpu,256,256,0.057396248323356894,0.012745920975631542,0.0001908282316008536,0.012680432603823599,0.01047815573677707,80,,0.9951503632719224,,83744.179239,3981.895204,84159.37235765159,optimized,cuda,256,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n50000_seed1050042/embed_gpu_256,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n50000_seed1050042/embed_gpu_256.inf_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n50000_seed1050042/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/topology_validation/synthetic_graphs/d1_n50000_seed1050042/gpu_256/synthetic_from_embedding.edge
1,100000,1100042,gpu,exact,0,0.06039677296658859,0.037818484134574726,4.714906367959265e-06,0.021109509649697645,0.012026645245864838,192,,0.9949401283610678,,536026.604199,163322.188156,536781.9461384788,optimized,cuda,0,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n100000_seed1100042/embed_gpu_exact,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n100000_seed1100042/embed_gpu_exact.inf_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n100000_seed1100042/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/topology_validation/synthetic_graphs/d1_n100000_seed1100042/gpu_exact/synthetic_from_embedding.edge
1,100000,1100042,gpu,16,16,0.055872520168958814,0.013406340063066235,4.6983585271925116e-05,0.01029142137054335,0.009506343087769651,77,,0.9946812256661746,,420237.886843,7969.486368,420966.6742607951,optimized,cuda,16,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n100000_seed1100042/embed_gpu_16,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n100000_seed1100042/embed_gpu_16.inf_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n100000_seed1100042/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/topology_validation/synthetic_graphs/d1_n100000_seed1100042/gpu_16/synthetic_from_embedding.edge
1,100000,1100042,gpu,64,64,0.058054571297019186,0.012348798056496357,0.0003458938343382893,0.009485493751284706,0.010858612931483524,655,,0.9947218377868159,,403296.200722,7912.518552,403815.7274508849,optimized,cuda,64,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n100000_seed1100042/embed_gpu_64,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n100000_seed1100042/embed_gpu_64.inf_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n100000_seed1100042/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/topology_validation/synthetic_graphs/d1_n100000_seed1100042/gpu_64/synthetic_from_embedding.edge
1,100000,1100042,gpu,256,256,0.056182811843132535,0.01192181090874006,0.00020601570239251257,0.010581808533698635,0.010028164041965023,974,,0.9947865123640124,,304255.667429,7905.873142,304748.7674765289,optimized,cuda,256,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n100000_seed1100042/embed_gpu_256,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n100000_seed1100042/embed_gpu_256.inf_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n100000_seed1100042/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/topology_validation/synthetic_graphs/d1_n100000_seed1100042/gpu_256/synthetic_from_embedding.edge
1,500000,1500042,gpu,exact,0,0.056081522152671814,0.03774853627945923,0.0002080963972459285,0.01947303439967983,0.010013856610822132,12564,,0.9977720504686657,,11528566.137506,4337863.377646,11530557.195946574,optimized,cuda,0,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n500000_seed1500042/embed_gpu_exact,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n500000_seed1500042/embed_gpu_exact.inf_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n500000_seed1500042/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/topology_validation/synthetic_graphs/d1_n500000_seed1500042/gpu_exact/synthetic_from_embedding.edge
1,500000,1500042,gpu,16,16,0.05296376837712606,0.02020166452386546,7.879756486934772e-05,0.005117874454863863,0.010262720164290235,13888,,0.9977591760921121,,7207097.336365,41213.59832,7209324.288506992,optimized,cuda,16,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n500000_seed1500042/embed_gpu_16,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n500000_seed1500042/embed_gpu_16.inf_coord,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/artifacts/d1_n500000_seed1500042/synthetic_sd_GC.edge,/n/holylabs/mweber_lab/Everyone/rjankowski/repo/d-mercator/benchmark_runs/66953837/topology_validation/synthetic_graphs/d1_n500000_seed1500042/gpu_16/synthetic_from_embedding.edge
